scenario,engine,attrs,rows,threshold,time_s,mem_gb
time_x_data,DuckDB,20,10000,0.01,0.46491456031799316,0.0
time_x_data,Java,20,10000,0.01,3.326716423034668,0.19706344604492188
time_x_data,DuckDB,20,50000,0.01,1.1582276821136475,0.015583038330078125
time_x_data,Java,20,50000,0.01,3.532803773880005,0.19892501831054688
time_x_data,DuckDB,20,100000,0.01,1.9480528831481934,0.039134979248046875
time_x_data,Java,20,100000,0.01,2.984178304672241,0.21271514892578125
time_x_data,DuckDB,20,200000,0.01,3.5044424533843994,0.047130584716796875
time_x_data,Java,20,200000,0.01,3.5915074348449707,0.2505683898925781
time_x_data,DuckDB,20,499308,0.01,8.226500272750854,0.12046051025390625
time_x_data,Java,20,499308,0.01,4.131221532821655,0.6432266235351562
time_x_data,DuckDB,20,10000,0.0001,0.836578369140625,0.047473907470703125
time_x_data,Java,20,10000,0.0001,3.752631187438965,0.3987998962402344
time_x_data,DuckDB,20,50000,0.0001,1.4957637786865234,0.054836273193359375
time_x_data,Java,20,50000,0.0001,3.6617355346679688,0.32958984375
time_x_data,DuckDB,20,100000,0.0001,2.3335378170013428,0.050533294677734375
time_x_data,Java,20,100000,0.0001,2.920510768890381,0.3454017639160156
time_x_data,DuckDB,20,200000,0.0001,3.9198524951934814,0.060894012451171875
time_x_data,Java,20,200000,0.0001,3.6174182891845703,0.36251068115234375
time_x_data,DuckDB,20,499308,0.0001,8.684317350387573,0.096466064453125
time_x_data,Java,20,499308,0.0001,4.330913066864014,0.6477394104003906
time_x_data,DuckDB,20,10000,1e-06,2.2904608249664307,0.0940704345703125
time_x_data,Java,20,10000,1e-06,5.792132139205933,1.0572357177734375
time_x_data,DuckDB,20,50000,1e-06,2.688896894454956,0.07108306884765625
time_x_data,Java,20,50000,1e-06,5.566412687301636,1.1065101623535156
time_x_data,DuckDB,20,100000,1e-06,3.5875754356384277,0.08411788940429688
time_x_data,Java,20,100000,1e-06,5.719049692153931,1.0716629028320312
time_x_data,DuckDB,20,200000,1e-06,5.373202085494995,0.09741592407226562
time_x_data,Java,20,200000,1e-06,5.80756139755249,1.04852294921875
time_x_data,DuckDB,20,499308,1e-06,10.444797039031982,0.13033294677734375
time_x_data,Java,20,499308,1e-06,7.409342288970947,1.3056526184082031
time_x_data,DuckDB,20,10000,1e-08,13.038071632385254,0.21439361572265625
time_x_data,Java,20,10000,1e-08,19.500253438949585,1.3228340148925781
time_x_data,DuckDB,20,50000,1e-08,16.34172797203064,0.29125213623046875
time_x_data,Java,20,50000,1e-08,26.213842153549194,1.3275184631347656
time_x_data,DuckDB,20,100000,1e-08,19.815404176712036,0.30605316162109375
time_x_data,Java,20,100000,1e-08,23.93171238899231,1.6439781188964844
time_x_data,DuckDB,20,200000,1e-08,24.711846113204956,0.3767585754394531
time_x_data,Java,20,200000,1e-08,25.127979516983032,1.5436210632324219
time_x_data,DuckDB,20,499308,1e-08,28.603750228881836,0.3232002258300781
time_x_data,Java,20,499308,1e-08,31.46705937385559,1.6111793518066406
mem_x_data,DuckDB,20,5000,1e-08,9.270997047424316,0.0
mem_x_data,Java,20,5000,1e-08,16.47184133529663,1.4425544738769531
mem_x_data,DuckDB,20,15000,1e-08,16.04461646080017,0.27680206298828125
mem_x_data,Java,20,15000,1e-08,24.856754779815674,1.2552719116210938
mem_x_data,DuckDB,20,25000,1e-08,24.09480595588684,0.4580268859863281
mem_x_data,Java,20,25000,1e-08,21.33837580680847,1.1443901062011719
mem_x_data,DuckDB,20,35000,1e-08,27.269428730010986,0.3878631591796875
mem_x_data,Java,20,35000,1e-08,24.691684246063232,1.4892616271972656
mem_x_data,DuckDB,20,45000,1e-08,25.994443893432617,0.3974037170410156
mem_x_data,Java,20,45000,1e-08,23.301623344421387,1.2984504699707031
mem_x_data,DuckDB,20,55000,1e-08,18.399411916732788,0.29673004150390625
mem_x_data,Java,20,55000,1e-08,24.913219690322876,1.3326377868652344
mem_x_data,DuckDB,20,65000,1e-08,16.55047631263733,0.28304290771484375
mem_x_data,Java,20,65000,1e-08,31.02074694633484,1.5322265625
mem_x_data,DuckDB,20,75000,1e-08,19.119505643844604,0.29529571533203125
mem_x_data,Java,20,75000,1e-08,25.201351165771484,1.4282150268554688
mem_x_data,DuckDB,20,85000,1e-08,17.64522647857666,0.2915916442871094
mem_x_data,Java,20,85000,1e-08,24.361005783081055,1.623779296875
time_mem_x_preds,DuckDB,4,5000,1e-08,0.13408207893371582,0.023448944091796875
time_mem_x_preds,Java,4,5000,1e-08,0.7055220603942871,0.11757278442382812
time_mem_x_preds,DuckDB,8,5000,1e-08,0.6379764080047607,0.0
time_mem_x_preds,Java,8,5000,1e-08,1.662764072418213,0.2736663818359375
time_mem_x_preds,DuckDB,12,5000,1e-08,1.8640382289886475,0.0
time_mem_x_preds,Java,12,5000,1e-08,3.698164463043213,0.5026664733886719
time_mem_x_preds,DuckDB,16,5000,1e-08,4.36737585067749,0.0
time_mem_x_preds,Java,16,5000,1e-08,8.24930191040039,0.70703125
time_mem_x_preds,DuckDB,20,5000,1e-08,9.39546823501587,0.002674102783203125
time_mem_x_preds,Java,20,5000,1e-08,16.51161479949951,1.4601707458496094
