scenario,engine,attrs,rows,threshold,time_s,mem_gb
time_x_data,DuckDB,20,10000,0.01,0.6425836086273193,0.36313629150390625
time_x_data,Java,20,10000,0.01,3.26322603225708,0.17608261108398438
time_x_data,DuckDB,20,50000,0.01,0.7436416149139404,0.36995697021484375
time_x_data,Java,20,50000,0.01,3.262420892715454,0.16607284545898438
time_x_data,DuckDB,20,100000,0.01,0.8808708190917969,0.36940765380859375
time_x_data,Java,20,100000,0.01,3.2643911838531494,0.19417953491210938
time_x_data,DuckDB,20,200000,0.01,1.0060641765594482,0.3331489562988281
time_x_data,Java,20,200000,0.01,3.362198829650879,0.2834587097167969
time_x_data,DuckDB,20,499308,0.01,1.7293906211853027,0.37787628173828125
time_x_data,Java,20,499308,0.01,3.7652010917663574,0.6648368835449219
time_x_data,DuckDB,20,10000,0.0001,0.8171262741088867,0.4026145935058594
time_x_data,Java,20,10000,0.0001,3.917071580886841,0.3424415588378906
time_x_data,DuckDB,20,50000,0.0001,0.956413984298706,0.40528106689453125
time_x_data,Java,20,50000,0.0001,4.428372621536255,0.35349273681640625
time_x_data,DuckDB,20,100000,0.0001,1.1891388893127441,0.38620758056640625
time_x_data,Java,20,100000,0.0001,3.977836847305298,0.3501091003417969
time_x_data,DuckDB,20,200000,0.0001,1.23952054977417,0.4065513610839844
time_x_data,Java,20,200000,0.0001,3.919192314147949,0.3149261474609375
time_x_data,DuckDB,20,499308,0.0001,1.956355094909668,0.42354583740234375
time_x_data,Java,20,499308,0.0001,4.426619052886963,0.6757621765136719
time_x_data,DuckDB,20,10000,1e-06,1.5487353801727295,0.4442901611328125
time_x_data,Java,20,10000,1e-06,5.57733941078186,0.7973175048828125
time_x_data,DuckDB,20,50000,1e-06,1.5823032855987549,0.4087486267089844
time_x_data,Java,20,50000,1e-06,5.431212902069092,1.0038948059082031
time_x_data,DuckDB,20,100000,1e-06,1.7544739246368408,0.43596649169921875
time_x_data,Java,20,100000,1e-06,5.425268650054932,0.8180580139160156
time_x_data,DuckDB,20,200000,1e-06,2.0508158206939697,0.4497261047363281
time_x_data,Java,20,200000,1e-06,5.372952461242676,0.926513671875
time_x_data,DuckDB,20,499308,1e-06,2.9995782375335693,0.4862518310546875
time_x_data,Java,20,499308,1e-06,6.7889838218688965,0.9619483947753906
time_x_data,DuckDB,20,10000,1e-08,7.383457899093628,0.5680389404296875
time_x_data,Java,20,10000,1e-08,13.060349464416504,1.1583938598632812
time_x_data,DuckDB,20,50000,1e-08,9.289957046508789,0.6636276245117188
time_x_data,Java,20,50000,1e-08,17.22452473640442,1.9297142028808594
time_x_data,DuckDB,20,100000,1e-08,10.808151245117188,0.6791954040527344
time_x_data,Java,20,100000,1e-08,15.731417417526245,1.381103515625
time_x_data,DuckDB,20,200000,1e-08,13.43342900276184,0.8161239624023438
time_x_data,Java,20,200000,1e-08,16.88105320930481,1.6468582153320312
time_x_data,DuckDB,20,499308,1e-08,12.448022365570068,0.7057609558105469
time_x_data,Java,20,499308,1e-08,19.584968090057373,1.5935859680175781
mem_x_data,DuckDB,20,5000,1e-08,5.122897148132324,0.5182991027832031
mem_x_data,Java,20,5000,1e-08,10.59409785270691,0.9609413146972656
mem_x_data,DuckDB,20,15000,1e-08,9.148183107376099,0.6733589172363281
mem_x_data,Java,20,15000,1e-08,15.820109605789185,1.49249267578125
mem_x_data,DuckDB,20,25000,1e-08,14.05644178390503,0.8095512390136719
mem_x_data,Java,20,25000,1e-08,15.241268157958984,1.2713966369628906
mem_x_data,DuckDB,20,35000,1e-08,16.543421506881714,0.8419456481933594
mem_x_data,Java,20,35000,1e-08,17.34624195098877,1.4678306579589844
mem_x_data,DuckDB,20,45000,1e-08,16.258155345916748,0.8076705932617188
mem_x_data,Java,20,45000,1e-08,17.1024386882782,1.4992332458496094
mem_x_data,DuckDB,20,55000,1e-08,10.193336725234985,0.6407318115234375
mem_x_data,Java,20,55000,1e-08,18.7217276096344,1.4540519714355469
mem_x_data,DuckDB,20,65000,1e-08,9.559707880020142,0.6610755920410156
mem_x_data,Java,20,65000,1e-08,21.817798376083374,2.009502410888672
mem_x_data,DuckDB,20,75000,1e-08,11.144897222518921,0.6652107238769531
mem_x_data,Java,20,75000,1e-08,16.32853126525879,1.4470367431640625
mem_x_data,DuckDB,20,85000,1e-08,9.545231103897095,0.6732521057128906
mem_x_data,Java,20,85000,1e-08,15.525636196136475,1.3976325988769531
time_mem_x_preds,DuckDB,4,5000,1e-08,0.20376801490783691,0.08023452758789062
time_mem_x_preds,Java,4,5000,1e-08,0.4026165008544922,0.10660171508789062
time_mem_x_preds,DuckDB,8,5000,1e-08,0.4377779960632324,0.12945938110351562
time_mem_x_preds,Java,8,5000,1e-08,0.9539461135864258,0.2893028259277344
time_mem_x_preds,DuckDB,12,5000,1e-08,1.040151834487915,0.19780731201171875
time_mem_x_preds,Java,12,5000,1e-08,2.4610118865966797,0.46324920654296875
time_mem_x_preds,DuckDB,16,5000,1e-08,2.40522837638855,0.36212921142578125
time_mem_x_preds,Java,16,5000,1e-08,4.7727251052856445,0.6190834045410156
time_mem_x_preds,DuckDB,20,5000,1e-08,5.185717582702637,0.5178718566894531
time_mem_x_preds,Java,20,5000,1e-08,10.998456001281738,0.9904556274414062
